,listing_id,date,available,price
10585,1810172,2017-09-05,t,$67.00
10586,1810172,2017-09-04,t,$67.00
10587,1810172,2017-09-03,t,$67.00
10588,1810172,2017-09-02,t,$67.00
10589,1810172,2017-09-01,t,$67.00
10950,6513924,2017-09-05,t,$55.00
10951,6513924,2017-09-04,t,$55.00
10952,6513924,2017-09-03,t,$55.00
10953,6513924,2017-09-02,t,$55.00
10954,6513924,2017-09-01,t,$55.00
11315,7093109,2017-09-05,t,$200.00
11316,7093109,2017-09-04,t,$200.00
11317,7093109,2017-09-03,t,$200.00
11318,7093109,2017-09-02,t,$200.00
11319,7093109,2017-09-01,t,$200.00
11907,14690527,2017-09-05,f,
11908,14690527,2017-09-04,f,
11909,14690527,2017-09-03,f,
11910,14690527,2017-09-02,f,
11911,14690527,2017-09-01,f,
12045,7086825,2017-09-05,t,$49.00
12046,7086825,2017-09-04,t,$49.00
12047,7086825,2017-09-03,t,$49.00
12048,7086825,2017-09-02,t,$49.00
12049,7086825,2017-09-01,t,$49.00
12410,1861070,2017-09-05,t,$75.00
12411,1861070,2017-09-04,t,$75.00
12412,1861070,2017-09-03,t,$75.00
12413,1861070,2017-09-02,t,$75.00
12414,1861070,2017-09-01,t,$75.00
12775,4283698,2017-09-05,t,$110.00
12776,4283698,2017-09-04,t,$110.00
12777,4283698,2017-09-03,t,$110.00
12778,4283698,2017-09-02,t,$110.00
12779,4283698,2017-09-01,t,$110.00
13340,10116095,2017-09-05,t,$115.00
13341,10116095,2017-09-04,t,$115.00
13342,10116095,2017-09-03,t,$115.00
13343,10116095,2017-09-02,t,$119.00
13344,10116095,2017-09-01,t,$119.00
13505,8548176,2017-09-05,t,$125.00
13506,8548176,2017-09-04,t,$125.00
13507,8548176,2017-09-03,t,$125.00
13508,8548176,2017-09-02,t,$150.00
13509,8548176,2017-09-01,t,$150.00
13870,4922204,2017-09-05,t,$200.00
13871,4922204,2017-09-04,t,$200.00
13872,4922204,2017-09-03,t,$200.00
13873,4922204,2017-09-02,t,$225.00
13874,4922204,2017-09-01,t,$225.00
14474,4085362,2017-09-05,t,$75.00
14475,4085362,2017-09-04,t,$75.00
14476,4085362,2017-09-03,t,$75.00
14477,4085362,2017-09-02,t,$75.00
14478,4085362,2017-09-01,t,$75.00
14600,3755609,2017-09-05,t,$78.00
14601,3755609,2017-09-04,t,$78.00
14602,3755609,2017-09-03,t,$78.00
14603,3755609,2017-09-02,t,$75.00
14604,3755609,2017-09-01,t,$75.00
14965,13768853,2017-09-05,f,
14966,13768853,2017-09-04,f,
14967,13768853,2017-09-03,f,
14968,13768853,2017-09-02,f,
14969,13768853,2017-09-01,f,
15330,1936861,2017-09-05,t,$60.00
15331,1936861,2017-09-04,t,$60.00
15332,1936861,2017-09-03,t,$60.00
15333,1936861,2017-09-02,t,$60.00
15334,1936861,2017-09-01,t,$60.00
15902,4461111,2017-09-05,t,$45.00
15903,4461111,2017-09-04,t,$45.00
15904,4461111,2017-09-03,t,$45.00
15905,4461111,2017-09-02,t,$45.00
15906,4461111,2017-09-01,t,$45.00
16060,1724900,2017-09-05,t,$130.00
16061,1724900,2017-09-04,t,$130.00
16062,1724900,2017-09-03,t,$130.00
16063,1724900,2017-09-02,t,$130.00
16064,1724900,2017-09-01,t,$130.00
16711,13937181,2017-09-05,f,
16712,13937181,2017-09-04,f,
16713,13937181,2017-09-03,f,
16714,13937181,2017-09-02,f,
16715,13937181,2017-09-01,f,
16790,3968797,2017-09-05,t,$85.00
16791,3968797,2017-09-04,t,$85.00
16792,3968797,2017-09-03,t,$85.00
16793,3968797,2017-09-02,t,$85.00
16794,3968797,2017-09-01,t,$85.00
17155,1494726,2017-09-05,t,$75.00
17156,1494726,2017-09-04,t,$75.00
17157,1494726,2017-09-03,t,$75.00
17158,1494726,2017-09-02,t,$80.00
17159,1494726,2017-09-01,t,$80.00
17725,8473851,2017-09-05,f,
17726,8473851,2017-09-04,f,
17727,8473851,2017-09-03,f,
17728,8473851,2017-09-02,f,
17729,8473851,2017-09-01,f,
18096,3575220,2017-09-05,t,$45.00
18097,3575220,2017-09-04,t,$45.00
18098,3575220,2017-09-03,t,$45.00
18099,3575220,2017-09-02,t,$45.00
18100,3575220,2017-09-01,t,$45.00
18250,1591827,2017-09-03,t,$60.00
18251,1591827,2017-09-02,t,$60.00
18252,1591827,2017-09-01,t,$60.00
18537,1591827,2017-09-05,t,$60.00
18538,1591827,2017-09-04,t,$60.00
18615,3229255,2017-09-05,f,
18616,3229255,2017-09-04,f,
18617,3229255,2017-09-03,f,
18618,3229255,2017-09-02,f,
18619,3229255,2017-09-01,f,
19234,1721016,2017-09-05,t,$80.00
19235,1721016,2017-09-04,t,$80.00
19236,1721016,2017-09-03,t,$80.00
19237,1721016,2017-09-02,t,$80.00
19238,1721016,2017-09-01,t,$80.00
19345,12535687,2017-09-05,t,$110.00
19346,12535687,2017-09-04,t,$110.00
19347,12535687,2017-09-03,t,$110.00
19348,12535687,2017-09-02,t,$110.00
19349,12535687,2017-09-01,t,$110.00
19710,12994227,2017-09-05,t,$65.00
19711,12994227,2017-09-04,t,$65.00
19712,12994227,2017-09-03,t,$65.00
19713,12994227,2017-09-02,t,$70.00
19714,12994227,2017-09-01,t,$70.00
20075,12927298,2017-09-05,t,$285.00
20076,12927298,2017-09-04,t,$285.00
20077,12927298,2017-09-03,t,$285.00
20078,12927298,2017-09-02,t,$285.00
20079,12927298,2017-09-01,t,$285.00
20440,169938,2017-09-05,f,
20441,169938,2017-09-04,f,
20442,169938,2017-09-03,f,
20443,169938,2017-09-02,f,
20444,169938,2017-09-01,f,
20987,594693,2017-09-05,t,$70.00
20988,594693,2017-09-04,t,$70.00
20989,594693,2017-09-03,t,$70.00
20990,594693,2017-09-02,t,$70.00
20991,594693,2017-09-01,t,$70.00
21170,2384581,2017-09-05,t,$95.00
21171,2384581,2017-09-04,t,$95.00
21172,2384581,2017-09-03,t,$95.00
21173,2384581,2017-09-02,t,$95.00
21174,2384581,2017-09-01,t,$95.00
21535,735970,2017-09-04,f,
21536,735970,2017-09-03,f,
21537,735970,2017-09-02,f,
21538,735970,2017-09-01,f,
21807,735970,2017-09-05,f,
21900,4262255,2017-09-05,t,$80.00
21901,4262255,2017-09-04,t,$80.00
21902,4262255,2017-09-03,t,$80.00
21903,4262255,2017-09-02,t,$80.00
21904,4262255,2017-09-01,t,$80.00
22462,4000384,2017-09-05,f,
22463,4000384,2017-09-04,f,
22464,4000384,2017-09-03,f,
22465,4000384,2017-09-02,f,
22466,4000384,2017-09-01,f,
22630,6693305,2017-09-05,f,
22631,6693305,2017-09-04,f,
22632,6693305,2017-09-03,f,
22633,6693305,2017-09-02,f,
22634,6693305,2017-09-01,f,
23269,6730758,2017-09-05,f,
23270,6730758,2017-09-04,f,
23271,6730758,2017-09-03,f,
23272,6730758,2017-09-02,f,
23273,6730758,2017-09-01,f,
23520,6248970,2017-09-05,f,
23521,6248970,2017-09-04,f,
23522,6248970,2017-09-03,f,
23523,6248970,2017-09-02,f,
23524,6248970,2017-09-01,f,
23725,12806707,2017-09-05,t,$60.00
23726,12806707,2017-09-04,t,$60.00
23727,12806707,2017-09-03,t,$60.00
23728,12806707,2017-09-02,t,$60.00
23729,12806707,2017-09-01,t,$60.00
24090,14246616,2017-09-05,f,
24091,14246616,2017-09-04,f,
24092,14246616,2017-09-03,f,
24093,14246616,2017-09-02,f,
24094,14246616,2017-09-01,f,
24694,3703674,2017-09-05,t,$75.00
24695,3703674,2017-09-04,t,$75.00
24696,3703674,2017-09-03,t,$75.00
24697,3703674,2017-09-02,t,$75.00
24698,3703674,2017-09-01,t,$75.00
24820,4792901,2017-09-05,f,
24821,4792901,2017-09-04,f,
24822,4792901,2017-09-03,f,
24823,4792901,2017-09-02,f,
24824,4792901,2017-09-01,f,
25357,5717528,2017-09-05,t,$110.00
25358,5717528,2017-09-04,t,$110.00
25359,5717528,2017-09-03,t,$110.00
25360,5717528,2017-09-02,t,$110.00
25361,5717528,2017-09-01,t,$110.00
25550,5601743,2017-09-05,f,
25551,5601743,2017-09-04,f,
25552,5601743,2017-09-03,f,
25553,5601743,2017-09-02,f,
25554,5601743,2017-09-01,f,
26105,13333862,2017-09-05,f,
26106,13333862,2017-09-04,f,
26107,13333862,2017-09-03,f,
26108,13333862,2017-09-02,f,
26109,13333862,2017-09-01,f,
26280,519272,2017-09-05,f,
26281,519272,2017-09-04,f,
26282,519272,2017-09-03,f,
26283,519272,2017-09-02,f,
26284,519272,2017-09-01,f,
26645,14090779,2017-09-05,f,
26646,14090779,2017-09-04,f,
26647,14090779,2017-09-03,f,
26648,14090779,2017-09-02,f,
26649,14090779,2017-09-01,f,
27010,8481291,2017-09-05,f,
27011,8481291,2017-09-04,f,
27012,8481291,2017-09-03,f,
27013,8481291,2017-09-02,f,
27014,8481291,2017-09-01,f,
27375,6990904,2017-09-05,f,
27376,6990904,2017-09-04,f,
27377,6990904,2017-09-03,f,
27378,6990904,2017-09-02,f,
27379,6990904,2017-09-01,f,
27740,197727,2017-09-05,t,$85.00
